time,flowcount
"12/24/2022, 10:48:45",167
"12/24/2022, 10:48:47",167
time,flowcount
"12/24/2022, 10:49:50",4
"12/24/2022, 10:49:52",4
"12/24/2022, 10:49:54",4
"12/24/2022, 10:49:56",4
"12/24/2022, 10:49:58",4
"12/24/2022, 10:50:00",4
"12/24/2022, 10:50:02",4
"12/24/2022, 10:50:04",4
"12/24/2022, 10:50:06",4
"12/24/2022, 10:50:08",4
time,flowcount
"12/25/2022, 00:35:09",1
"12/25/2022, 00:35:11",1
"12/25/2022, 00:35:13",1
"12/25/2022, 00:35:15",1
"12/25/2022, 00:35:17",1
"12/25/2022, 00:35:19",1
"12/25/2022, 00:35:21",1
"12/25/2022, 00:35:23",9
"12/25/2022, 00:35:25",13
"12/25/2022, 00:35:27",17
"12/25/2022, 00:35:29",19
time,flowcount
"12/25/2022, 00:35:58",1
"12/25/2022, 00:36:00",181
"12/25/2022, 00:36:02",371
"12/25/2022, 00:36:04",560
"12/25/2022, 00:36:06",748
"12/25/2022, 00:36:08",933
"12/25/2022, 00:36:10",1014
"12/25/2022, 00:36:12",1140
"12/25/2022, 00:36:14",1267
"12/25/2022, 00:36:16",1393
time,flowcount
time,flowcount
"12/25/2022, 00:38:43",1
"12/25/2022, 00:38:45",5
"12/25/2022, 00:38:47",5
"12/25/2022, 00:38:49",7
"12/25/2022, 00:38:51",9
"12/25/2022, 00:38:53",11
"12/25/2022, 00:38:55",15
"12/25/2022, 00:38:57",21
"12/25/2022, 00:38:59",23
"12/25/2022, 00:39:01",29
"12/25/2022, 00:39:03",31
"12/25/2022, 00:39:05",33
"12/25/2022, 00:39:07",37
"12/25/2022, 00:39:09",39
"12/25/2022, 00:39:11",41
"12/25/2022, 00:39:13",41
"12/25/2022, 00:39:15",47
"12/25/2022, 00:39:17",51
"12/25/2022, 00:39:19",55
"12/25/2022, 00:39:21",59
"12/25/2022, 00:39:23",63
"12/25/2022, 00:39:25",65
"12/25/2022, 00:39:27",65
"12/25/2022, 00:39:29",69
"12/25/2022, 00:39:31",69
"12/25/2022, 00:39:33",73
"12/25/2022, 00:39:35",73
time,flowcount
"12/25/2022, 00:39:45",17
"12/25/2022, 00:39:47",18
"12/25/2022, 00:39:49",18
"12/25/2022, 00:39:51",18
"12/25/2022, 00:39:53",18
"12/25/2022, 00:39:55",18
"12/25/2022, 00:39:57",18
"12/25/2022, 00:39:59",18
"12/25/2022, 00:40:01",18
"12/25/2022, 00:40:03",18
"12/25/2022, 00:40:05",18
"12/25/2022, 00:40:07",18
"12/25/2022, 00:40:09",18
"12/25/2022, 00:40:11",18
"12/25/2022, 00:40:13",18
time,flowcount
time,flowcount
"12/25/2022, 00:40:55",82
"12/25/2022, 00:40:57",84
"12/25/2022, 00:40:59",84
"12/25/2022, 00:41:01",84
"12/25/2022, 00:41:03",84
"12/25/2022, 00:41:05",84
"12/25/2022, 00:41:07",84
"12/25/2022, 00:41:09",84
"12/25/2022, 00:41:11",84
"12/25/2022, 00:41:13",84
time,flowcount
time,flowcount
"12/25/2022, 00:42:25",1
"12/25/2022, 00:42:27",5
"12/25/2022, 00:42:29",5
"12/25/2022, 00:42:31",7
"12/25/2022, 00:42:33",7
"12/25/2022, 00:42:35",9
"12/25/2022, 00:42:37",9
"12/25/2022, 00:42:39",11
"12/25/2022, 00:42:41",17
"12/25/2022, 00:42:43",21
"12/25/2022, 00:42:45",23
"12/25/2022, 00:42:47",27
"12/25/2022, 00:42:49",33
time,flowcount
