time,sfe,ssip,rfip,type
"12/25/2022, 01:13:59",126,126,0.0016863406408094434,0
"12/25/2022, 01:14:01",126,126,0.001524390243902439,0
"12/25/2022, 01:14:03",127,127,0.001389854065323141,0
"12/25/2022, 01:14:05",125,125,0.0012787723785166241,0
"12/25/2022, 01:14:07",126,126,0.001183431952662722,0
"12/25/2022, 01:14:09",127,127,0.001100715465052284,0
"12/25/2022, 01:14:11",125,125,0.0010298661174047373,0
"12/25/2022, 01:14:13",60,60,0.000999000999000999,0
"12/25/2022, 01:14:15",96,96,0.0009532888465204957,0
"12/25/2022, 01:14:17",96,96,0.0009115770282588879,0
"12/25/2022, 01:14:19",96,96,0.0008733624454148472,0
"12/25/2022, 01:14:21",96,96,0.0008382229673093043,0
"12/25/2022, 01:14:23",96,96,0.0008058017727639,0
"12/25/2022, 01:14:25",96,96,0.0007757951900698216,0
"12/25/2022, 01:14:27",96,96,0.0007479431563201197,0
"12/25/2022, 01:14:29",96,96,0.0007220216606498195,0
"12/25/2022, 01:14:32",96,96,0.0006978367062107466,0
"12/25/2022, 01:14:33",96,96,0.0006752194463200541,0
"12/25/2022, 01:14:35",44,44,0.0006653359946773121,0
"12/25/2022, 01:14:38",77,77,0.0006487187804086928,0
"12/25/2022, 01:14:40",78,78,0.0006327111673521037,0
"12/25/2022, 01:14:41",78,78,0.0006174745291756715,0
"12/25/2022, 01:14:43",77,77,0.0006031363088057901,0
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
"12/26/2022, 06:07:56",3,2,1.0,0
"12/26/2022, 06:07:58",2,1,1.0,0
"12/26/2022, 06:08:00",0,0,1.0,0
"12/26/2022, 06:08:02",2,1,1.0,0
"12/26/2022, 06:08:04",0,0,1.0,0
"12/26/2022, 06:08:06",0,0,1.0,0
"12/26/2022, 06:08:08",0,0,1.0,0
"12/26/2022, 06:08:10",6,2,1.0,0
"12/26/2022, 06:08:12",6,2,1.0,0
"12/26/2022, 06:08:14",6,2,1.0,0
"12/26/2022, 06:08:16",6,0,1.0,0
"12/26/2022, 06:08:18",4,0,1.0,0
"12/26/2022, 06:08:20",2,0,1.0,0
"12/26/2022, 06:08:22",6,0,1.0,0
"12/26/2022, 06:08:24",0,0,1.0,0
"12/26/2022, 06:08:26",2,0,1.0,0
"12/26/2022, 06:08:28",4,0,1.0,0
"12/26/2022, 06:08:30",4,0,1.0,0
